search URL:,https://patents.google.com/?q=Aramid&country=US&before=priority:20191031&after=priority:20191001&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021351478-A1,"Separator for lithium ion battery and method for preparing the same, and lithium ion battery ",South China University Of Technology,"Haihui Wang, Jian Xue, Suqing Wang",2019-10-08,2021-07-21,2021-11-11,,https://patents.google.com/patent/US20210351478A1/en,https://patentimages.storage.googleapis.com/d0/e7/3c/0b918bf599188b/US20210351478A1-20211111-D00000.png
US-2021093336-A1,Embolic retrieval catheter ,"Incept, Llc","Chad C. Roue, Yi Yang, Farhad Khosravi",2019-10-01,2020-09-29,2021-04-01,,https://patents.google.com/patent/US20210093336A1/en,https://patentimages.storage.googleapis.com/be/11/15/efb0c1c5d58772/US20210093336A1-20210401-D00000.png
US-2021112909-A1,Structurally-colored articles and methods for making and using structurally-colored articles ,"Nike, Inc.","Jeremy Gantz, Yuanmin Wang",2019-10-21,2020-10-19,2021-04-22,,https://patents.google.com/patent/US20210112909A1/en,https://patentimages.storage.googleapis.com/ab/a2/db/f711c16b1f1250/US20210112909A1-20210422-D00000.png
US-10776547-B1,Infinite-depth path-based analysis of operational timing for circuit design ,"Cadence Design Systems, Inc.","Umesh Gupta, Naresh Kumar, Prashant Sethia, Ritika Govila, Jayant Sharma",2019-10-14,2019-10-14,2020-09-15,2020-09-15,https://patents.google.com/patent/US10776547B1/en,https://patentimages.storage.googleapis.com/3e/cd/ae/04afab0d52df4e/US10776547-20200915-D00000.png
US-2021114639-A1,Portable positioning and odometry system ,Thales Canada Inc.,"Walter KINIO, Rudy ROCHEFORT, Alon Green",2019-10-17,2020-10-16,2021-04-22,,https://patents.google.com/patent/US20210114639A1/en,https://patentimages.storage.googleapis.com/f3/34/91/fcb295a7d634c7/US20210114639A1-20210422-D00000.png
US-2021102582-A1,Mechanical joints and applications ,"Angle X, Inc.",Kenneth Anthony Lock,2019-10-04,2020-10-02,2021-04-08,,https://patents.google.com/patent/US20210102582A1/en,https://patentimages.storage.googleapis.com/2e/bc/01/8d33e9c73476ec/US20210102582A1-20210408-D00000.png
US-2021122901-A1,"Flame retardant thermoplastic composition, a molded body obtained from the thermoplastic composition, a compound construction body containing the thermoplastic composition and/or the molded body, and the use of the thermoplastic composition, the molded body and the compound construction body ",Woco Gmbh & Co. Kg,Janos Kertesz,2019-10-28,2020-10-28,2021-04-29,,https://patents.google.com/patent/US20210122901A1/en,
US-2021101326-A1,Systems and methods of making a composite article ,GM Global Technology Operations LLC,Bradley A. Newcomb,2019-10-04,2019-10-04,2021-04-08,,https://patents.google.com/patent/US20210101326A1/en,https://patentimages.storage.googleapis.com/9c/28/53/a8df11ad65e51d/US20210101326A1-20210408-D00000.png
US-2021123255-A1,Composite based leading edge for a pool and/or spa cover system ,Priority Electric Inc.,Michael P. Prior,2019-10-23,2020-06-15,2021-04-29,,https://patents.google.com/patent/US20210123255A1/en,https://patentimages.storage.googleapis.com/34/92/9a/e4a7cdceeafbca/US20210123255A1-20210429-D00000.png
US-2021109265-A1,Structurally-colored articles and methods for making and using structurally-colored articles ,"Nike, Inc.","Jeremy Gantz, Yuanmin Wang",2019-10-15,2020-10-14,2021-04-15,,https://patents.google.com/patent/US20210109265A1/en,https://patentimages.storage.googleapis.com/be/dc/6c/8496d654bd422d/US20210109265A1-20210415-D00000.png
