search URL:,https://patents.google.com/?q=Polyimide+Foam&country=US&before=priority:20180630&after=priority:20180601&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021274289-A1,Sound device and portable terminal ,Goertek Inc.,"Xinglong Wang, Jianjian Wang, Tongyan XU, Chunfa Liu",2018-06-25,2018-12-17,2021-09-02,,https://patents.google.com/patent/US20210274289A1/en,https://patentimages.storage.googleapis.com/90/7f/3f/84884bd42b5bf3/US20210274289A1-20210902-D00000.png
US-11024849-B2,Fast-chargeable lithium battery ,"Global Graphene Group, Inc.","Hui He, Chueh Liu, Aruna Zhamu, Bor Z. Jang",2018-06-12,2018-06-12,2021-06-01,2021-06-01,https://patents.google.com/patent/US11024849B2/en,https://patentimages.storage.googleapis.com/10/40/e1/a52a2a7e6dc76e/US11024849-20210601-D00000.png
US-2019388000-A1,Antenna design for biomarker monitoring and methods of use ,American University Of Beirut,"Joseph Costantine, Rouwaida Kanj, Assaad Eid, Jessica Hanna, Ali H. Ramadan, Youssef Tawk",2018-06-26,2019-06-26,2019-12-26,,https://patents.google.com/patent/US20190388000A1/en,https://patentimages.storage.googleapis.com/b3/4c/1b/1139bc4c672a2f/US20190388000A1-20191226-D00000.png
US-2019365028-A1,Two part sole structures and uses thereof ,"Nike, Inc.","Sami M. Fakhouri, Askim Senyurt",2018-06-04,2019-06-03,2019-12-05,,https://patents.google.com/patent/US20190365028A1/en,https://patentimages.storage.googleapis.com/04/a8/cd/e9801e56c8dac7/US20190365028A1-20191205-D00000.png
US-2021251565-A1,Data collection schemes for a wound dressing and related methods ,Coloplast A/S,"Jais Ask Hansen, Lars Erup Larsen, Niels Hvid, Lars Molzen, Finn SPEIERMANN",2018-06-15,2019-01-31,2021-08-19,,https://patents.google.com/patent/US20210251565A1/en,https://patentimages.storage.googleapis.com/bc/e5/8e/ebc9519838a9d9/US20210251565A1-20210819-D00000.png
US-2021236036-A1,A wearable device ,"Koninklijke Philips N.V., Nederlandse Organisatie Voor Toegepast-Natuurwetenschappelijk Onderzoek Tno (Den Haag)","Timon Rutger Grob, Ozgur Tasar, Elise Claude Valentine Talgorn, Lieven Adriaenssen, Marco BARINK, Edsger Constant Pieter Smits, Jeroen van den Brand",2018-06-07,2019-05-28,2021-08-05,,https://patents.google.com/patent/US20210236036A1/en,https://patentimages.storage.googleapis.com/62/b0/92/afeea9d02fbf8b/US20210236036A1-20210805-D00000.png
US-2021106091-A1,Impact Mitigation Fit Pods ,"Vpg Acquisitionco, Llc","Travis E. GLOVER, Marie Pahlmeyer, Adam Kollgaard, Kayla FUKUDA, Jason Neubauer, Andre H.P. STONE, Kurt Fischer",2018-06-07,2020-12-07,2021-04-15,,https://patents.google.com/patent/US20210106091A1/en,https://patentimages.storage.googleapis.com/9f/c5/11/dfd8a9e3fd61ef/US20210106091A1-20210415-D00000.png
US-2021323006-A1,Thickness-limited electrospray deposition ,"Rutgers, The State University Of New Jersey","Jonathan P. Singer, Lin Lei",2018-06-12,2019-06-12,2021-10-21,,https://patents.google.com/patent/US20210323006A1/en,https://patentimages.storage.googleapis.com/72/49/12/5688119ba55cbf/US20210323006A1-20211021-D00000.png
US-2019366281-A1,Mixing of Extrudable Plastics with Small Amounts of Other Substances ,Entex Rust & Mitschke Gmbh,Harald Rust,2018-06-01,2019-05-31,2019-12-05,,https://patents.google.com/patent/US20190366281A1/en,https://patentimages.storage.googleapis.com/3b/30/24/e3e81af8ca3201/US20190366281A1-20191205-D00000.png
US-2021026480-A1,Panel bottom member and display device including the same ,"Samsung Display Co., Ltd.","Kyung Ho Jung, Hyun Seok Ko, Jae Ho Lee, Joo Nyung Jang",2018-06-27,2020-09-29,2021-01-28,,https://patents.google.com/patent/US20210026480A1/en,https://patentimages.storage.googleapis.com/8a/f0/f3/79797f4268ed7c/US20210026480A1-20210128-D00000.png
US-2019373976-A1,Safety helmet capable of absorbing multi-direction impact ,Vog - Image Police Inc.,Gavin Michael Vos,2018-06-12,2018-06-29,2019-12-12,,https://patents.google.com/patent/US20190373976A1/en,https://patentimages.storage.googleapis.com/09/4d/0b/a1194a7d46187c/US20190373976A1-20191212-D00000.png
US-2019377182-A1,Reverse-order crossed pancake lens with azimuthal compensation ,"Facebook Technologies, Llc",Gary Dean Sharp,2018-06-07,2018-10-15,2019-12-12,,https://patents.google.com/patent/US20190377182A1/en,https://patentimages.storage.googleapis.com/7f/5f/c8/3ce4e8c030e935/US20190377182A1-20191212-D00000.png
US-2019377119-A1,Optical member and display device including the same ,"Samsung Display Co., Ltd.","Yun Jang, Byung Seo YOON",2018-06-11,2018-12-10,2019-12-12,,https://patents.google.com/patent/US20190377119A1/en,https://patentimages.storage.googleapis.com/78/80/6e/921f6db8931b60/US20190377119A1-20191212-D00000.png
US-2019365272-A1,Electrode array configuration on a flexible substrate for electro-oculogram recording ,"Seyedhesam Sadeghian-Motahar, Jerald H. Simmons","Seyedhesam Sadeghian-Motahar, Jerald H. Simmons",2018-06-02,2019-06-02,2019-12-05,,https://patents.google.com/patent/US20190365272A1/en,https://patentimages.storage.googleapis.com/cc/6f/3e/d42bbc1148a3dd/US20190365272A1-20191205-D00000.png
US-2021205138-A1,Wound dressing and method of manufacturing a wound dressing ,Coloplast A/S,"Jais Ask Hansen, Lars Erup Larsen, Niels Hvid",2018-06-15,2019-06-14,2021-07-08,,https://patents.google.com/patent/US20210205138A1/en,https://patentimages.storage.googleapis.com/8e/da/29/a3e5094cdda398/US20210205138A1-20210708-D00000.png
