search URL:,https://patents.google.com/?q=Silica+wool&country=US&before=priority:20180228&after=priority:20180201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11154393-B2,Full contour breast implant ,"Tepha, Inc.","Skander Limem, Said Rizk, Simon F. Williams",2018-02-09,2019-01-30,2021-10-26,2021-10-26,https://patents.google.com/patent/US11154393B2/en,https://patentimages.storage.googleapis.com/1e/36/4d/08c7291341ec4c/US11154393-20211026-D00000.png
US-11066417-B2,"Modulators of cystic fibrosis transmembrane conductance regulator, pharmaceutical compositions, methods of treatment, and process for making the modulators ",Vertex Pharmaceuticals Incorporated,"Jeremy J. Clemens, Alexander Russell Abela, Corey Don Anderson, Brett B. Busch, Weichao George Chen, Thomas Cleveland, Timothy Richard Coon, Bryan Frieman, Senait G. Ghirmai, Peter Grootenhuis, Anton V. Gulevich, Sara Sabina Hadida Ruah, Clara Kuang-Ju Hsia, Ping Kang, Haripada Khatuya, Jason McCartney, Mark Thomas Miller, Prasuna Paraselli, Fabrice Pierre, Sara E. Swift, Andreas Termin, Johnny Uy, Carl V. Vogel, Jinglan Zhou",2018-02-15,2019-02-14,2021-07-20,2021-07-20,https://patents.google.com/patent/US11066417B2/en,https://patentimages.storage.googleapis.com/ee/09/f3/176247f865d7de/US11066417-20210720-D00001.png
US-2021047548-A1,"Composite Elements of Thermal Insulation Material, Adhesive and Outer Layer ",Basf Se,"Olaf Jacobmeier, Sabrina Kronig, Antje Huskobla, Christian Renner, Peter Huntemann",2018-02-07,2019-01-30,2021-02-18,,https://patents.google.com/patent/US20210047548A1/en,
US-2020369866-A1,"Composition, polymer composite article formed therewith, and method of preparing same ","Dow Silicones Corporation, Dow Global Technologies Llc, Rohm And Haas Company","Keith BRUCE, Igor Chorvath, Marc-Andre COURTEMANCHE, Jon V. DEGROOT, Jr., Sean GAAL, Craig Gross, Hailan Guo, James KEENIHAN, Shawn Mealey, Scott Miller, Tom Parsons, Steven R. Rapacki, Andrew SCHLADER, Cristina Serrat, Lauren Tonge",2018-02-01,2019-02-01,2020-11-26,,https://patents.google.com/patent/US20200369866A1/en,
US-11084925-B2,Thermally conductive polymer composition ,Ticona Llc,Young Shin Kim,2018-02-20,2019-02-13,2021-08-10,2021-08-10,https://patents.google.com/patent/US11084925B2/en,https://patentimages.storage.googleapis.com/65/e6/5a/27ce25504cfc2d/US11084925-20210810-D00000.png
US-2021009541-A1,Fungicidal oxadiazoles ,Bayer Aktiengesellschaft,"Stephane Brunet, Philippe Desbordes, Sophie DUCERF, Jeremy DUFOUR, Andreas GOERTZ, Mathieu GOURGUES, Emmanuelle Hilt, Sebastien Naud, Anne-Sophie Rebstock, Vincent Thomas, Aurelia VERNAY, Francois Villalba",2018-02-12,2019-02-11,2021-01-14,,https://patents.google.com/patent/US20210009541A1/en,
US-2021115008-A1,P300/cbp hat inhibitors ,"Constellation Pharmaceuticals, Inc.","Jonathan E. Wilson, Francois Brucelle, Julian R. Levell",2018-02-16,2019-02-15,2021-04-22,,https://patents.google.com/patent/US20210115008A1/en,
US-2020360261-A1,Functional polysaccharide particle ,Nissan Chemical Corporation,Takayuki Imoto,2018-02-01,2019-02-01,2020-11-19,,https://patents.google.com/patent/US20200360261A1/en,https://patentimages.storage.googleapis.com/e6/59/6c/c5a72b97cfdf2f/US20200360261A1-20201119-D00000.png
US-11160223-B2,Systems for generating water for a container farm and related methods therefor ,"Source Global, PBC","Cody Alden Friesen, Jason Larmour Hooper",2018-02-18,2019-02-18,2021-11-02,2021-11-02,https://patents.google.com/patent/US11160223B2/en,https://patentimages.storage.googleapis.com/a7/5a/0e/a6d6c172cf757d/US11160223-20211102-D00000.png
US-2020377774-A1,Surface treatment agent ,"Daikin Industries, Ltd.","Kanako Takahashi, Ryousuke Hara, Ikuo Yamamoto",2018-02-20,2020-08-19,2020-12-03,,https://patents.google.com/patent/US20200377774A1/en,
