search URL:,https://patents.google.com/?q=aerogel&country=US&before=priority:20190930&after=priority:20190901&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021098389-A1,Semiconductor device with air gap and method for preparing the same ,Nanya Technology Corporation,Chih-Tsung WU,2019-09-27,2019-09-27,2021-04-01,,https://patents.google.com/patent/US20210098389A1/en,https://patentimages.storage.googleapis.com/19/b3/6d/616c6ce701caad/US20210098389A1-20210401-D00000.png
US-2021084930-A1,Rapidly cooling food and drinks ,"Sigma Phase, Corp.",Matthew Fonte,2019-09-19,2020-09-18,2021-03-25,,https://patents.google.com/patent/US20210084930A1/en,https://patentimages.storage.googleapis.com/6e/38/82/2ccd3c7abc777e/US20210084930A1-20210325-D00000.png
US-11161939-B2,Method for the preparation use of an alkoxy-functional organohydrogensiloxane oligomer using purified starting materials an duse of the oligomer ,Dow Silicones Corporation,"Xiaoyuan Zhou, Reza Haghpanah, Aaron Greiner, Eric JOFFRE, Sean Reisch, Christine Marchand",2019-09-11,2020-09-02,2021-11-02,2021-11-02,https://patents.google.com/patent/US11161939B2/en,
US-11168181-B2,Method for the preparation of an alkoxy-functional organohydrogensiloxane oligomer and use of said oligomer ,Dow Silicones Corporation,"Xiaoyuan Zhou, Reza Haghpanah, Aaron Greiner, Eric JOFFRE, Sean Reisch, Christine Marchand",2019-09-11,2020-09-02,2021-11-09,2021-11-09,https://patents.google.com/patent/US11168181B2/en,
US-2021074970-A1,Energy storage module ,"Samsung Sdi Co., Ltd.","Jin Taek Kim, Eun Ok KWAK, Jin Bhum Yun, Jang Hoon Kim, Jong Yeol WOO, Kwang Deuk LEE, Woo Sung Choi",2019-09-05,2020-06-15,2021-03-11,,https://patents.google.com/patent/US20210074970A1/en,https://patentimages.storage.googleapis.com/cd/ec/24/e79853c182884b/US20210074970A1-20210311-D00000.png
US-2021098309-A1,Semiconductor Device with Air Gaps Between Metal Gates and Method of Forming the Same ,"Taiwan Semiconductor Manufacturing Co., Ltd.","Wei-Lun Min, Xusheng Wu, Chang-Miao Liu",2019-09-26,2020-07-17,2021-04-01,,https://patents.google.com/patent/US20210098309A1/en,https://patentimages.storage.googleapis.com/43/26/3d/b26f13775bcfa4/US20210098309A1-20210401-D00000.png
US-2021091190-A1,Source/Drain Via Having Reduced Resistance ,"Taiwan Semiconductor Manufacturing Co., Ltd.","Po-Yu Huang, Shih-Che Lin, Chao-Hsun Wang, Kuo-Yi Chao, Mei-Yun Wang",2019-09-25,2020-06-11,2021-03-25,,https://patents.google.com/patent/US20210091190A1/en,https://patentimages.storage.googleapis.com/25/a4/bd/5fe7fb0fe19337/US20210091190A1-20210325-D00000.png
US-2021090959-A1,Air Spacer Formation for Semiconductor Devices ,"Taiwan Semiconductor Manufacturing Co., Ltd.","Wei-Lun Min, Chang-Miao Liu",2019-09-25,2020-06-11,2021-03-25,,https://patents.google.com/patent/US20210090959A1/en,https://patentimages.storage.googleapis.com/35/9f/94/691b0aa4e3614f/US20210090959A1-20210325-D00000.png
US-2021083112-A1,Transistor Structure and Method With Strain Effect ,"Taiwan Semiconductor Manufacturing Co., Ltd.","Xusheng Wu, Youbo LIN",2019-09-17,2019-09-17,2021-03-18,,https://patents.google.com/patent/US20210083112A1/en,https://patentimages.storage.googleapis.com/75/fc/bd/464d0612f015a5/US20210083112A1-20210318-D00000.png
US-2021082756-A1,Semiconductor Device with Reduced Contact Resistance and Methods of Forming the Same ,"Taiwan Semiconductor Manufacturing Co., Ltd.","Kuo-Chiang Tsai, Jhy-Huei Chen",2019-09-16,2019-09-16,2021-03-18,,https://patents.google.com/patent/US20210082756A1/en,https://patentimages.storage.googleapis.com/6d/a0/f7/c36227f0382b17/US20210082756A1-20210318-D00000.png
