search URL:,https://patents.google.com/?q=carbon+fiber&country=US&before=priority:20180228&after=priority:20180201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019241735-A1,Polymer Composite Containing Recycled Carbon Fibers ,Celanese Sales Germany Gmbh,"Dirk Zierer, Patrick Nickolay, Tim Feuerstack",2018-02-08,2019-02-08,2019-08-08,,https://patents.google.com/patent/US20190241735A1/en,https://patentimages.storage.googleapis.com/65/d3/69/0f25bce2a5d031/US20190241735A1-20190808-D00000.png
US-2019258763-A1,Methods And Systems For Manufacturing Products/Parts Made Of Carbon Fiber Reinforced Composite Based On Numerical Simulations ,Livermore Software Technology Corporation,"Houfu Fan, XinHai Zhu",2018-02-17,2018-08-28,2019-08-22,,https://patents.google.com/patent/US20190258763A1/en,https://patentimages.storage.googleapis.com/1e/e6/1b/6e46af39399628/US20190258763A1-20190822-D00000.png
US-2019256672-A1,Carbon fiber-nanoparticle composites with electromechanical properties ,"Ut-Battelle, Llc","Christopher C. Bowland, Amit K. Naskar",2018-02-20,2019-02-20,2019-08-22,,https://patents.google.com/patent/US20190256672A1/en,https://patentimages.storage.googleapis.com/22/9f/94/d8e434d4d45ed2/US20190256672A1-20190822-D00000.png
US-2019258762-A1,Methods And Systems For Manufacturing Products/Parts Made Of Carbon Fiber Reinforced Composite Based On Numerical Simulations ,Livermore Software Technology Corporation,"XinHai Zhu, Houfu Fan, Li Zhang, Hao Chen, Jinglin Zheng",2018-02-17,2018-02-17,2019-08-22,,https://patents.google.com/patent/US20190258762A1/en,https://patentimages.storage.googleapis.com/8b/b7/bc/fa654b20b1590d/US20190258762A1-20190822-D00000.png
US-2019283279-A1,Methods for manufacturing carbon fiber and for manufacturing carbon fiber reinforced resin composition ,"Ai-Carbon Co., Ltd.","Yuki KASAI, Noriaki Ijuin",2018-02-09,2019-04-01,2019-09-19,,https://patents.google.com/patent/US20190283279A1/en,https://patentimages.storage.googleapis.com/cb/1b/c5/46c8c883a4bf6b/US20190283279A1-20190919-D00000.png
US-2020407884-A1,Lignin Fractionation and Fabrication for Quality Carbon Fiber ,The Texas A&M University System,"Joshua Shuhua Yuan, Qiang Li",2018-02-26,2019-02-26,2020-12-31,,https://patents.google.com/patent/US20200407884A1/en,https://patentimages.storage.googleapis.com/bb/3a/30/380be332e08984/US20200407884A1-20201231-D00000.png
US-2021080410-A1,Carbon fiber window for x-ray diffractometer ,Proto Patents Ltd.,"Vedran Nicholas VUKOTIC, Stanislav VEINBERG, Natan CARATASANOV",2018-02-22,2019-02-21,2021-03-18,,https://patents.google.com/patent/US20210080410A1/en,https://patentimages.storage.googleapis.com/ca/fd/c9/e935359d50ae4c/US20210080410A1-20210318-D00000.png
US-2021071356-A1,"Sizing agent composition, method for producing carbon fibers, and carbon fibers each having sizing agent applied thereonto ",Teijin Limited,"Takuya Murakami, Masayuki Chokai, Yuki Suzuki, Takeshi Naito",2018-02-21,2019-02-14,2021-03-11,,https://patents.google.com/patent/US20210071356A1/en,
US-2021031409-A1,System and method for converting recycled carbon fiber into densified fibers ,"Shocker Composites, LLC",Vamsidhar Patlolla,2018-02-12,2019-02-12,2021-02-04,,https://patents.google.com/patent/US20210031409A1/en,https://patentimages.storage.googleapis.com/4c/41/86/002e864a9b956d/US20210031409A1-20210204-D00000.png
US-11096443-B2,Sole structure for article of footwear ,"Nike, Inc.","Jeremy L. Connell, Karen S. Dimoff, Stefan E. Guest, Charlie Keller, Troy C. Lindner, Geng Luo, Tetsuya T. Minami, Jonathan Rasca, Adam Thuss",2018-02-09,2019-02-07,2021-08-24,2021-08-24,https://patents.google.com/patent/US11096443B2/en,https://patentimages.storage.googleapis.com/41/44/a5/dbdbe3d5afd584/US11096443-20210824-D00000.png
