search URL:,https://patents.google.com/?q=ceramic+fibers&country=US&before=priority:20180531&after=priority:20180501&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021140080-A1,"Polycrystalline, aluminosilicate ceramic filaments, fibers, and nonwoven mats, and methods of making and using the same ",3M Innovative Properties Company,"Anne N. De Rovere, William V. Chiu, Daimon K Heller, Gerry A. Hoffdahl, Kari A. McGee, David M. Wilson",2018-05-11,2019-05-09,2021-05-13,,https://patents.google.com/patent/US20210140080A1/en,https://patentimages.storage.googleapis.com/96/4c/94/2598829b503069/US20210140080A1-20210513-D00000.png
US-2021123173-A1,"Polycrystalline, aluminosilicate ceramic filaments, fibers, and nonwoven mats, and methods of making and using the same ",3M Innovative Properties Company,"Anne N. De Rovere, Michael R. Berrigan, William V. Chiu, Daimon K Heller, Kari A. McGee, David M. Wilson",2018-05-11,2019-05-10,2021-04-29,,https://patents.google.com/patent/US20210123173A1/en,https://patentimages.storage.googleapis.com/37/59/ec/55d72a31d915ee/US20210123173A1-20210429-D00000.png
US-2021078898-A1,Inorganic fiber ,Unifrax I Llc,"Donghui Zhao, Bruce K. Zoitos, Michael J. Andrejcak, Jason M. Hamilton",2018-05-25,2020-11-25,2021-03-18,,https://patents.google.com/patent/US20210078898A1/en,
US-2019338146-A1,Graphene-Enabled Anti-Corrosion Coating ,"Nanotek Instruments, Inc.","Fan-Chun Meng, Yi-Jun Lin, Shaio-yen Lee, Wen Y. Chiu, Aruna Zhamu, Bor Z. Jang",2018-05-07,2018-05-07,2019-11-07,,https://patents.google.com/patent/US20190338146A1/en,https://patentimages.storage.googleapis.com/73/a9/26/c1517afa2aeee0/US20190338146A1-20191107-D00000.png
US-10743694-B2,Package receiving locker ,"Securum Capsa, Inc.","Carlos Raphael, Jason Scott ALTMAN, Jeff Harlan",2018-05-17,2019-05-16,2020-08-18,2020-08-18,https://patents.google.com/patent/US10743694B2/en,https://patentimages.storage.googleapis.com/b8/fa/05/864f9f90459126/US10743694-20200818-D00000.png
US-2019350701-A1,Replacement heart valve commissure assembly ,"Boston Scientific Scimed, Inc.","Jasper Ellington Adamek-Bowers, Ali Salahieh, Anh Thu Pham, Dwight John Knab, JR.",2018-05-15,2019-05-15,2019-11-21,,https://patents.google.com/patent/US20190350701A1/en,https://patentimages.storage.googleapis.com/18/77/d7/0712e1ac238d51/US20190350701A1-20191121-D00000.png
US-2019363598-A1,Apparatus for cooling an electric motor and method of making the same ,GM Global Technology Operations LLC,"Anthony M. Coppola, Alireza Fatemi, Derek F. Lahr",2018-05-25,2018-05-25,2019-11-28,,https://patents.google.com/patent/US20190363598A1/en,https://patentimages.storage.googleapis.com/8e/5f/7f/c5b89bf7d67797/US20190363598A1-20191128-D00000.png
US-2019359531-A1,Method of making a fiber preform for ceramic matrix composite (cmc) fabrication ,Rolls-Royce High Temperature Composites Inc.,"Wayne Steffier, Michael Jacquinto, Stephen Harris, Robert Shinavski, Todd Engel",2018-05-23,2018-05-23,2019-11-28,,https://patents.google.com/patent/US20190359531A1/en,https://patentimages.storage.googleapis.com/66/10/c6/de028fac72ad3e/US20190359531A1-20191128-D00000.png
US-2019364969-A1,Vaporizer device with differential pressure sensor ,"Pax Labs, Inc.","Joshua Fu, Christopher Loental, Marko Markovic, Alexander Weiss, Alexander Ringrose, David Carlberg, Robyn Nariyoshi, Devin Spratt, Nicholas J. HATTON, Yen Jen CHANG, Chen Yu Li, Barry Tseng, Prince Wang, Thomas Germann, Andreas Schaefer",2018-05-29,2019-05-29,2019-12-05,,https://patents.google.com/patent/US20190364969A1/en,https://patentimages.storage.googleapis.com/a5/af/24/12fb55661c4593/US20190364969A1-20191205-D00000.png
US-2019338660-A1,Cmc nozzle with interlocking mechanical joint and fabrication ,General Electric Company,"Sara Saxton Underwood, Douglas Glenn Decesare, Michael Ray TUERTSCHER, Daniel Gene Dunn, Douglas Melton Carper",2018-05-02,2018-05-02,2019-11-07,,https://patents.google.com/patent/US20190338660A1/en,https://patentimages.storage.googleapis.com/e7/ff/62/9d10c0bdbbe0de/US20190338660A1-20191107-D00000.png
