search URL:,https://patents.google.com/?q=electronic+battery&country=US&before=priority:20180630&after=priority:20180401&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019319313-A1,Battery enclosure for incorporating an electronic battery performance enhancement device ,"Canadus Power Systems, Llc","Jack A. Scott, Daniel C. Biggs, Jr.",2018-04-17,2019-04-17,2019-10-17,,https://patents.google.com/patent/US20190319313A1/en,https://patentimages.storage.googleapis.com/81/18/0d/163ab18d855589/US20190319313A1-20191017-D00000.png
US-2021160357-A1,Battery having electrode tabs and electronic device having same ,"Samsung Electronics Co., Ltd.","Dohoon Kim, Chulwoo PARK",2018-06-07,2019-05-14,2021-05-27,,https://patents.google.com/patent/US20210160357A1/en,https://patentimages.storage.googleapis.com/c1/f1/8b/39f078906abe95/US20210160357A1-20210527-D00000.png
US-2020006725-A1,Electronic apparatus provided with battery chamber and image pickup apparatus including electronic apparatus ,Canon Kabushiki Kaisha,"Shogo Iwasaki, Kyouhei SUZUKI",2018-06-27,2019-06-21,2020-01-02,,https://patents.google.com/patent/US20200006725A1/en,https://patentimages.storage.googleapis.com/ae/22/06/8f3d8a995c17ce/US20200006725A1-20200102-D00000.png
US-2019372157-A1,All-solid battery ,Toyota Jidosha Kabushiki Kaisha,Kei OURA,2018-05-30,2019-05-14,2019-12-05,,https://patents.google.com/patent/US20190372157A1/en,https://patentimages.storage.googleapis.com/7e/33/d9/c7d13980aad73f/US20190372157A1-20191205-D00000.png
US-2021050569-A1,Battery pack and electronic device having the same ,"Samsung Sdi Co., Ltd.",Kwangsoo Bae,2018-04-17,2019-04-02,2021-02-18,,https://patents.google.com/patent/US20210050569A1/en,https://patentimages.storage.googleapis.com/a5/68/3f/9c45d866f698b3/US20210050569A1-20210218-D00000.png
US-2021151797-A1,"Additive for nonaqueous electrolyte solutions, nonaqueous electrolyte solution, and lithium ion secondary battery ",Nissan Chemical Corporation,Yuki Shibano,2018-04-09,2019-03-28,2021-05-20,,https://patents.google.com/patent/US20210151797A1/en,
US-2021116511-A1,Estimation method of state of charge of power storage device and estimation system of state of charge of power storage device ,"Semiconductor Energy Laboratory Co., Ltd.","Ryota Tajima, Akihiro Chida, Masataka SHIOKAWA",2018-04-27,2019-04-12,2021-04-22,,https://patents.google.com/patent/US20210116511A1/en,https://patentimages.storage.googleapis.com/ba/33/c3/765505be6b42ef/US20210116511A1-20210422-D00000.png
US-2019393568-A1,Battery heating system ,"Hardworking American, LLC","Zachery Lewis, Adele Keating",2018-06-20,2019-06-20,2019-12-26,,https://patents.google.com/patent/US20190393568A1/en,https://patentimages.storage.googleapis.com/7f/99/19/ac0448ecc127a8/US20190393568A1-20191226-D00000.png
US-2021257681-A1,Abnormality detection method of power storage device and management device of power storage device ,"Semiconductor Energy Laboratory Co., Ltd.","Kei Takahashi, Toshiyuki Isa, Ryo Yamauchi, Koji KUSUNOKI",2018-06-22,2019-06-11,2021-08-19,,https://patents.google.com/patent/US20210257681A1/en,https://patentimages.storage.googleapis.com/d9/ac/95/c8d355ad903a0c/US20210257681A1-20210819-D00000.png
US-2021104719-A1,Battery electrode and method for manufacturing the same ,"Murata Manufacturing Co., Ltd.",Makiko Oikawa,2018-06-11,2020-11-18,2021-04-08,,https://patents.google.com/patent/US20210104719A1/en,https://patentimages.storage.googleapis.com/c1/63/0a/b493961c04041e/US20210104719A1-20210408-D00000.png
US-11050096-B2,Battery protection circuit and battery pack including same ,"Samsung Sdi Co., Ltd.","Youngjun Kim, Jong-Chan HAN",2018-06-08,2019-03-21,2021-06-29,2021-06-29,https://patents.google.com/patent/US11050096B2/en,https://patentimages.storage.googleapis.com/ee/c2/ff/4ddc45bcc01b2a/US11050096-20210629-D00000.png
US-2019305368-A1,All-solid-state battery ,Toyota Jidosha Kabushiki Kaisha,"Satoshi Mizutani, Yuhki YUI",2018-04-03,2019-03-14,2019-10-03,,https://patents.google.com/patent/US20190305368A1/en,https://patentimages.storage.googleapis.com/b2/50/20/e2e64b3cb3d81a/US20190305368A1-20191003-D00000.png
US-2021194263-A1,"Energy storage apparatus, external discharge device, and discharge method of energy storage device ",Gs Yuasa International Ltd.,Yuki Imanaka,2018-05-21,2019-05-16,2021-06-24,,https://patents.google.com/patent/US20210194263A1/en,https://patentimages.storage.googleapis.com/4a/73/63/c878d7c7e33f7b/US20210194263A1-20210624-D00000.png
US-2019372155-A1,Methods of manufacturing high-active-material-loading composite electrodes and all-solid-state batteries including composite electrodes ,GM Global Technology Operations LLC,"Thomas A. Yersak, James R. Salvador, Robert D. Schmidt",2018-05-30,2018-05-30,2019-12-05,,https://patents.google.com/patent/US20190372155A1/en,https://patentimages.storage.googleapis.com/f5/9b/34/db20691952105b/US20190372155A1-20191205-D00000.png
US-2021088018-A1,Energy storage apparatus and restart method for engine of idling-stop vehicle ,Gs Yuasa International Ltd.,Yuki Imanaka,2018-04-24,2019-04-19,2021-03-25,,https://patents.google.com/patent/US20210088018A1/en,https://patentimages.storage.googleapis.com/3d/c6/0d/fbf6c454ee4a0e/US20210088018A1-20210325-D00000.png
