search URL:,https://patents.google.com/?q=glass+fiber&country=US&before=priority:20180430&after=priority:20180401&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021070986-A1,Glass fiber reinforced thermoplastic compositions with good mechanical properties ,"Covestro Deutschland Ag, Covestro Llc","Derk Wandner, Sven Hobeika, Thomas Eckel, Marina Rogunova",2018-04-09,2019-04-04,2021-03-11,,https://patents.google.com/patent/US20210070986A1/en,
US-2021139368-A1,Glass fiber and method for producing the same ,"Nippon Sheet Glass Company, Limited","Aya Nakamura, Hidetoshi Fukuchi, Masanori Shojiya",2018-04-09,2018-09-28,2021-05-13,,https://patents.google.com/patent/US20210139368A1/en,
US-2021165159-A1,High-bandwidth bend-insensitive multimode fiber ,Yangtze Optical Fibre And Cable Joint Stock Limited Company,"Wufeng XIAO, Rong Huang, Haiying Wang, Runhan Wang, Honghai Wang, Ruichun Wang",2018-04-17,2019-04-11,2021-06-03,,https://patents.google.com/patent/US20210165159A1/en,https://patentimages.storage.googleapis.com/66/58/4f/6d98f7673ba5dd/US20210165159A1-20210603-D00000.png
US-2021333489-A1,Fiber array for vertical coupling ,"Wuhan Yilut Technology Co., Ltd.","Chuang YU, Wanglong Huang, Jingnong Cai",2018-04-17,2018-04-28,2021-10-28,,https://patents.google.com/patent/US20210333489A1/en,https://patentimages.storage.googleapis.com/bf/1f/81/b5d2b71126cd98/US20210333489A1-20211028-D00000.png
US-2019322578-A1,Optical fiber coating die assembly having inlet tube ,Corning Incorporated,"Dana Craig Bookbinder, Darren Andrew Stainer, Pushkar Tandon, Ruchi Tandon, Bryan William Wakefield",2018-04-20,2019-04-10,2019-10-24,,https://patents.google.com/patent/US20190322578A1/en,https://patentimages.storage.googleapis.com/0a/ef/f2/fce7769d31da3c/US20190322578A1-20191024-D00000.png
US-2021228349-A1,Devices and methods for anchoring transcatheter heart valve ,"Vdyne, Inc.","Robert Vidlund, Mark Christianson, David Holtan",2018-04-04,2020-10-02,2021-07-29,,https://patents.google.com/patent/US20210228349A1/en,https://patentimages.storage.googleapis.com/b6/c6/4d/a50cbccd12a34d/US20210228349A1-20210729-D00000.png
US-10782740-B2,Display apparatus ,"Lg Display Co., Ltd.","Taehyung Kim, Geunchang PARK, Chounsung Kang, Mi-Na Shin, Sunbok Song, SeungJun KOO",2018-04-20,2019-04-16,2020-09-22,2020-09-22,https://patents.google.com/patent/US10782740B2/en,https://patentimages.storage.googleapis.com/1e/14/f9/98146cfcda9867/US10782740-20200922-D00000.png
US-2020335719-A1,"Flexible oled display panel, manufacturing method for the same and display device ","Wuhan China Star Optoelectronics Semiconductor Display Technology Co., Ltd.","Jie Xu, Tao Sun",2018-04-28,2018-07-19,2020-10-22,,https://patents.google.com/patent/US20200335719A1/en,https://patentimages.storage.googleapis.com/50/61/83/5cc8a3015bef26/US20200335719A1-20201022-D00000.png
US-10324170-B1,Multi-beam lidar system with polygon mirror ,"Luminar Technologies, Inc.","John P. Engberg, Jr., Christopher A. Engberg, John G. Hughes, Sean P. Hughes",2018-04-05,2018-05-08,2019-06-18,2019-06-18,https://patents.google.com/patent/US10324170B1/en,https://patentimages.storage.googleapis.com/04/49/5d/f1f25c7040280b/US10324170-20190618-D00000.png
US-2019323533-A1,Set of panels with a mechanical locking device ,Välinge Innovation AB,Christian Boo,2018-04-18,2019-04-17,2019-10-24,,https://patents.google.com/patent/US20190323533A1/en,https://patentimages.storage.googleapis.com/44/76/ca/0c525ff2e6ed81/US20190323533A1-20191024-D00000.png
US-2019323532-A1,Set of panels with a mechanical locking device ,Välinge Innovation AB,Christian Boo,2018-04-18,2019-04-17,2019-10-24,,https://patents.google.com/patent/US20190323532A1/en,https://patentimages.storage.googleapis.com/e9/36/69/095eaafd80a0ba/US20190323532A1-20191024-D00000.png
