search URL:,https://patents.google.com/?q=polyamide&country=US&before=priority:20180430&after=priority:20180401&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021040318-A1,Polyamide-based 3d printer material ,Mitsubishi Chemical Corporation,"Akiko Hirano, Kouichirou Taniguchi, Takatoshi Muta",2018-04-26,2020-10-23,2021-02-11,,https://patents.google.com/patent/US20210040318A1/en,https://patentimages.storage.googleapis.com/b1/d3/e4/25360edeec5ec9/US20210040318A1-20210211-D00000.png
US-2020407501-A1,Polyamide block copolymer and polyamide film including the same ,"Lg Chem, Ltd.","Bi Oh RYU, Soonyong PARK, Youngseok Park, Kwanyeol PAEK, Young Ji Tae, Il Hwan Choi",2018-04-02,2019-04-02,2020-12-31,,https://patents.google.com/patent/US20200407501A1/en,
US-2021018837-A1,"Method for producing polyimide precursor, method for producing photosensitive resin composition, method for producing pattern cured product, method for producing interlayer insulating film, cover coat layer or surface protective film, and method for producing electronic component ","Hd Microsystems, Ltd.","Satoshi Yoneda, Tetsuya Enomoto",2018-04-03,2018-04-03,2021-01-21,,https://patents.google.com/patent/US20210018837A1/en,https://patentimages.storage.googleapis.com/b4/24/4b/8dfb2439327f19/US20210018837A1-20210121-D00000.png
US-2018237601-A1,Heat stabilized long fiber polyamide polymer compositions and corresponding fabrication methods and articles ,"Solvay Specialty Polymers Usa, Llc","Thorsten WINDHUES, Geert J. Verfaillie",2018-04-23,2018-04-23,2018-08-23,,https://patents.google.com/patent/US20180237601A1/en,https://patentimages.storage.googleapis.com/e8/71/cc/a0379989a4c5a4/US20180237601A1-20180823-D00000.png
US-2019322866-A1,Polyamide composition and film and method for manufacturing the same ,Industrial Technology Research Institute,"Jyh-Horng Wu, Ming-Tsong LEU, Sheng-Lung CHANG, Hung-Jen Liu, Po-Ling Shiao, Yen-Cheng Li, Yih-Her Chang",2018-04-18,2018-12-24,2019-10-24,,https://patents.google.com/patent/US20190322866A1/en,https://patentimages.storage.googleapis.com/7a/2f/35/bfe98db085005b/US20190322866A1-20191024-D00000.png
US-2021147677-A1,Dual-Molded Polyamide-Silicone Composite Article and Methods of Making ,3M Innovative Properties Company,"Ramnath Subramaniam, Joseph S. Warner, Michael J. Svendsen, David M. Castiglione",2018-04-18,2019-04-16,2021-05-20,,https://patents.google.com/patent/US20210147677A1/en,https://patentimages.storage.googleapis.com/8c/9b/95/94048f20202d11/US20210147677A1-20210520-D00000.png
US-2021032467-A1,Polyamide resin composition and molded article ,Mitsubishi Engineering-Plastics Corporation,Fumihito OKAMOTO,2018-04-02,2019-03-29,2021-02-04,,https://patents.google.com/patent/US20210032467A1/en,https://patentimages.storage.googleapis.com/e3/d8/97/a8d0162964ab21/US20210032467A1-20210204-D00000.png
US-2021130574-A1,Flame-retardant polyamide composition ,Invista North America S.A R.L.,"Charles Richard Langrick, Deborah SARZOTTI",2018-04-18,2019-04-17,2021-05-06,,https://patents.google.com/patent/US20210130574A1/en,
US-10934394-B2,"Composition comprising polymer and inorganic particles, polyimide-inorganic particles composite, article including the composite, and optical device including the article ","Samsung Electronics Co., Ltd., Samsung Display Co., Ltd.","Won Joon CHO, Young Jae Kang, Hyunseok CHOI",2018-04-04,2019-04-04,2021-03-02,2021-03-02,https://patents.google.com/patent/US10934394B2/en,https://patentimages.storage.googleapis.com/b5/fa/b1/0b8b5c3bf9ef1a/US10934394-20210302-D00000.png
US-10945489-B2,Sole structure with plates and intervening fluid-filled bladder and method of manufacturing ,"Nike, Inc.","Bryan P. Conrad, Ross Klein, Troy C. Lindner, Bryan R. Picco, Jeffrey George Rasmussen, Bryan K. Youngs",2018-04-20,2019-04-09,2021-03-16,2021-03-16,https://patents.google.com/patent/US10945489B2/en,https://patentimages.storage.googleapis.com/bb/aa/6a/cdf23c8092a69d/US10945489-20210316-D00000.png
