search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20190131&after=priority:20190101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-D896449-S,Pet harness ,Qiang Dang,Qiang Dang,2019-01-25,2019-01-25,2020-09-15,2020-09-15,https://patents.google.com/patent/USD896449S1/en,https://patentimages.storage.googleapis.com/af/d3/4e/f2cc370cc6a4a7/USD0896449-20200915-D00000.png
US-D884986-S,Pet feeder ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-21,2019-03-27,2020-05-19,2020-05-19,https://patents.google.com/patent/USD884986S1/en,https://patentimages.storage.googleapis.com/b5/5c/21/decc0687c0c9fd/USD0884986-20200519-D00000.png
US-2021193958-A1,"Display substrate, method for manufacturing the same and display device ","Boe Technology Group Co., Ltd.","Youwei Wang, Song Zhang, Peng Cai",2019-01-08,2019-12-26,2021-06-24,,https://patents.google.com/patent/US20210193958A1/en,https://patentimages.storage.googleapis.com/72/7e/06/582538d3646e20/US20210193958A1-20210624-D00000.png
US-D884296-S,Dog chew toy ,"PetQwerks, Inc.",James W. Gick,2019-01-09,2019-01-09,2020-05-12,2020-05-12,https://patents.google.com/patent/USD884296S1/en,https://patentimages.storage.googleapis.com/ff/c8/ee/77ed48b451a265/USD0884296-20200512-D00000.png
US-11165097-B2,"Electrolyte, electrochemical device and electronic device containing the same ",Ningde Amperex Technology Limited,"Chunrui XU, Wenqiang LI, Chao Tang, Shuirong Zhang",2019-01-25,2019-06-27,2021-11-02,2021-11-02,https://patents.google.com/patent/US11165097B2/en,
US-D891726-S,T-bone pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Casey Sims, Todd Palmer",2019-01-07,2019-11-20,2020-08-04,2020-08-04,https://patents.google.com/patent/USD891726S1/en,https://patentimages.storage.googleapis.com/af/f3/d2/fedf2485ddb05b/USD0891726-20200804-D00000.png
US-D885686-S,Pet feeder ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-21,2019-03-27,2020-05-26,2020-05-26,https://patents.google.com/patent/USD885686S1/en,https://patentimages.storage.googleapis.com/b5/ea/96/65473bae6d7ba1/USD0885686-20200526-D00000.png
US-D885685-S,Pet feeder ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-21,2019-03-27,2020-05-26,2020-05-26,https://patents.google.com/patent/USD885685S1/en,https://patentimages.storage.googleapis.com/1b/46/34/23fdd6683a3c89/USD0885685-20200526-D00000.png
US-D884985-S,Pet feeder ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-21,2019-03-27,2020-05-19,2020-05-19,https://patents.google.com/patent/USD884985S1/en,https://patentimages.storage.googleapis.com/e7/0b/10/ee3f2213f57233/USD0884985-20200519-D00000.png
US-D893116-S,Pet toy ,"Dongguan Vking Rubber Technology Co., Ltd.","Yungao Wang, Guangwei Xie, Hongqiang Zhang",2019-01-24,2019-01-24,2020-08-11,2020-08-11,https://patents.google.com/patent/USD893116S1/en,https://patentimages.storage.googleapis.com/d9/6f/0e/49c36764c96c19/USD0893116-20200811-D00000.png
