search URL:,https://patents.google.com/?q=silica+Needle+Mat&country=US&before=priority:20210831&after=priority:20210801&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021370654-A1,Layered composite articles and methods of making same ,Columbia Insurance Company,"James Burns, Tom Odum, Jay Vecsey, Jean Briere, Derek BASS",,2021-08-10,2021-12-02,,https://patents.google.com/patent/US20210370654A1/en,https://patentimages.storage.googleapis.com/d1/3f/ee/362e945d7beaf6/US20210370654A1-20211202-D00000.png
US-2021379864-A1,Compositions incorporating silica fibers ,"American Nano, LLC.",Mitch Dellinger,,2021-08-23,2021-12-09,,https://patents.google.com/patent/US20210379864A1/en,https://patentimages.storage.googleapis.com/ff/2b/90/720583f024dbf1/US20210379864A1-20211209-D00000.png
US-2021373582-A1,Fluid transfer component for transferring thermal energy comprising a film with fluid channels ,Zane Coleman,Zane Coleman,,2021-08-16,2021-12-02,,https://patents.google.com/patent/US20210373582A1/en,https://patentimages.storage.googleapis.com/42/49/3f/6dc122f90dca8a/US20210373582A1-20211202-D00000.png
US-2021379907-A1,Digital binder and powder print ,Ceraloc Innovation Ab,"Darko Pervan, Tony Pervan",,2021-08-19,2021-12-09,,https://patents.google.com/patent/US20210379907A1/en,https://patentimages.storage.googleapis.com/fb/58/a2/3c1cb175ec0a37/US20210379907A1-20211209-D00000.png
US-2021380662-A1,"Novel peptides, combination of peptides as targets and for use in immunotherapy against gallbladder cancer and cholangiocarcinoma and other cancers ",Immatics Biotechnologies Gmbh,"Andrea MAHR, Toni Weinschenk, Anita Wiebe, Oliver Schoor, Jens FRITSCHE, Harpreet Singh",,2021-08-13,2021-12-09,,https://patents.google.com/patent/US20210380662A1/en,https://patentimages.storage.googleapis.com/b8/1e/7f/8fa16add1308b2/US20210380662A1-20211209-D00001.png
US-2021369237-A1,Localizing Medical Instruments Using Doppler Ultrasound Twinkling Artifact Signatures ,Mayo Foundation For Medical Education And Research,"Christine U. Lee, James F. Greenleaf, Gina K. Hesley, Matthew W. Urban, Eric E. Brost, Christopher L. Deufel",,2021-08-10,2021-12-02,,https://patents.google.com/patent/US20210369237A1/en,https://patentimages.storage.googleapis.com/a8/5c/8a/8ad4356a168add/US20210369237A1-20211202-D00000.png
US-2021373000-A1,Multipart reagents having increased avidity for polymerase binding ,"Element Biosciences, Inc.","Sinan ARSLAN, Molly He, Matthew Kellinger, Jake Levieux, Michael Previte, Junhua Zhao, Su Zhang, Tyler Lopez",,2021-08-10,2021-12-02,,https://patents.google.com/patent/US20210373000A1/en,https://patentimages.storage.googleapis.com/8c/47/5b/657e5b24d1f656/US20210373000A1-20211202-D00001.png
US-2021375612-A1,Logical operations in mass spectrometry ,Purdue Research Foundation,"Robert Graham Cooks, Dalton Snyder, Lucas Szalwinski",,2021-08-13,2021-12-02,,https://patents.google.com/patent/US20210375612A1/en,https://patentimages.storage.googleapis.com/9f/d0/a1/dce1dcca5ff007/US20210375612A1-20211202-D00000.png
US-2021378658-A1,Anchor delivery system ,"Neotract, Inc.","Joseph Catanese, III, Theodore Bender, Robert George, Floria Cheng, Jolene Cutts, Ling-Kang Tong, Michael Gearhart, Matthew McLean, James Niederjohn, Brian Y. Tachibana, Ben Thompson",,2021-08-26,2021-12-09,,https://patents.google.com/patent/US20210378658A1/en,https://patentimages.storage.googleapis.com/44/44/81/0c1b9d542645e3/US20210378658A1-20211209-D00000.png
US-2021370637-A1,Thick and absorbent and/or flexible toilet tissue ,The Procter & Gamble Company,"Joerg Kleinwaechter, Eric Bryan Bond, Matthew Gary McKee, Hasan Eroglu, Tyler Jacob Werner, Jeffrey Chan, Joshua Thomas Fung, Jeffrey Glen Sheehan, Paul Dennis Trokhan, Jean A. Ibrahim",,2021-08-16,2021-12-02,,https://patents.google.com/patent/US20210370637A1/en,https://patentimages.storage.googleapis.com/d5/67/a3/95f9510b03dc94/US20210370637A1-20211202-D00000.png
