Id,Label,그룹,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,원문,번역,
A01D34,A01D34,,,7,699.41449,8,0.262584,0.277842,0,26,1,15,0.012137,,,
B60R11,B60R11,,,65,22153.04159,8,0.332088,0.367734,0.002518,26,0.410714,828,0.231537,,,
B60R2011,B60R2011,,,58,22237.97784,8,0.330947,0.365318,0.001776,26,0.469298,749,0.216833,,,
B60R9,B60R9,,,10,2116.518723,8,0.281075,0.298454,0.000088,26,0.611111,22,0.019616,,,
B65D25,B65D25,,,42,11946.80537,7,0.305607,0.329577,0.003197,30,0.287805,236,0.055382,,,
B65D43,B65D43,,,42,22459.15523,7,0.30154,0.325416,0.001436,30,0.320732,263,0.055303,,,
A01D41,A01D41,,,7,1851.471863,7,0.284641,0.299991,0,19,1,15,0.009654,,,
G01F1,G01F1,,,16,3106.40551,7,0.310368,0.330197,0.000613,19,0.371429,39,0.029807,,,
G01L1,G01L1,,,55,15640.10598,6,0.36636,0.399257,0.008215,19,0.186583,267,0.180305,,,
G01L5,G01L5,,,25,6579.195961,6,0.343899,0.36945,0.001949,19,0.355072,98,0.076654,,,
G01L9,G01L9,,,22,3618.840515,7,0.320883,0.340481,0.001242,13,0.433333,91,0.037399,,,
G01N33,G01N33,,,74,42040.72067,7,0.341309,0.375531,0.019522,9,0.143455,377,0.106549,Investigating or analysing materials by specific methods not covered by groups G01N1/00 - G01N31/00,그룹 G01N1/00 -  G01N31/00으로 분류되지 않는 특정 방법에 의한 재료의 조사 또는 분석,
A01G18,A01G18,,,2,1224.891846,0,0,0,0,0,0,0,0.000182,,,
A01G31,A01G31,,,11,1944.544815,8,0.26181,0.27791,0,15,1,45,0.014253,,,
A01G7,A01G7,,,19,3033.21743,7,0.304359,0.324846,0.001608,15,0.568627,87,0.036878,,,
B01J21,B01J21,,,50,15638.44507,7,0.300872,0.326923,0.001775,15,0.356293,419,0.057065,,,
B01J23,B01J23,,,63,38827.70493,7,0.31455,0.345335,0.00496,15,0.269699,510,0.078585,,,
B01J35,B01J35,,,72,80691.98327,7,0.314593,0.347383,0.006143,15,0.245473,610,0.084877,,,
B01J37,B01J37,,,53,79973.02254,7,0.30658,0.334748,0.0027,15,0.311463,413,0.063457,,,
C02F1,C02F1,5,,74,94830.52154,7,0.32743,0.359081,0.010598,15,0.230213,605,0.079052,"Treatment of water, waste water, or sewage (C02F3/00?-?C02F9/00 take precedence) ","물, 폐수, 또는 하수의 처리 (C02F3/00 ~ C02F9/00이 우선)",
C02F2201,C02F2201,,,17,4013.982292,8,0.264932,0.282641,0.000093,15,0.691667,83,0.019466,,,
C02F2305,C02F2305,,,37,17441.76248,7,0.300013,0.324875,0.001104,15,0.473016,298,0.047493,,,
Y02P60,Y02P60,,,19,3033.21743,7,0.304359,0.324846,0.001608,15,0.568627,87,0.036878,,,
A01G9,A01G9,,,11,1245.467964,7,0.290509,0.307004,0,19,0.955556,43,0.024507,,,
F21K9,F21K9,,,43,22821.28133,7,0.326828,0.354963,0.001007,19,0.383275,330,0.142778,,,
F21S4,F21S4,,,45,11712.60698,6,0.346217,0.375076,0.001341,19,0.374207,354,0.173723,,,
F21V9,F21V9,,,36,10343.1776,7,0.31832,0.341924,0.000607,19,0.378151,225,0.092701,,,
F21Y2115,F21Y2115,,,96,27945.37616,7,0.359521,0.398285,0.017251,19,0.152072,679,0.242011,,,
G02B15,G02B15,,,11,1245.467964,7,0.290509,0.307004,0,19,0.955556,43,0.024507,,,
G02B26,G02B26,,,36,10662.11309,7,0.341157,0.3663,0.001446,19,0.310924,185,0.121764,,,
H01L33,H01L33,,,100,134411.5147,7,0.360306,0.400975,0.006779,19,0.199959,970,0.362174,Semiconductor devices with at least one potential-jump barrier or surface barrier specially adapted for light emission; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof; Details thereof (H01L51/50 takes,"발광에 특히 적합한 적어도 하나의 전위-점프 장벽 또는 표면 장벽을 갖는 반도체 장치; 그 또는 그 일부의 제조 또는 처리에 특히 적합한 프로세스 또는 장치; 그 세부 사항 (H01L51/50이 우선; 공통 기판 내에 또는 상에 형성된 복수의 반도체 구성 요소로 구성되고, 특히 발광에 적합하게 적응 된 적어도 하나의 잠재적 인 점프 장벽 또는 표면 장벽을 갖는 반도체 구성 요소를 포함하는 장치; 레이저 H01S5/00)",
A01H1,A01H1,,,7,31639.66864,8,0.215941,0.228248,0,9,1,15,0.002585,,,
A01H4,A01H4,,,7,11933.90149,8,0.215941,0.228248,0,9,1,15,0.002585,,,
A01H5,A01H5,,,8,24998.21616,8,0.225816,0.239639,0.000049,9,0.857143,18,0.003733,,,
A01H6,A01H6,,,8,24601.7169,8,0.225816,0.239639,0.000049,9,0.857143,18,0.003733,,,
C07C309,C07C309,,,9,1516.836967,8,0.235816,0.249101,0.001078,9,0.642857,18,0.003215,,,
