Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
A01B1,A01B1,,19,7672.493965,5,0.355185,0.373949,0.000771,15,0.568627,87,0.029451
A01B19,A01B19,,6,1412.927353,6,0.269647,0.277611,0,15,1,10,0.000748
A01B35,A01B35,,11,3684.493965,5,0.336787,0.351434,0.000308,15,0.533333,24,0.01056
A01B45,A01B45,,8,2036.828522,5,0.297526,0.307543,0.000068,15,0.619048,13,0.002743
A01B63,A01B63,,6,1412.927353,6,0.269647,0.277611,0,15,1,10,0.000748
A01D7,A01D7,,13,1825.612007,5,0.348601,0.366567,0,15,0.954545,63,0.024525
B25G1,B25G1,,26,6721.223587,5,0.377671,0.398345,0.001668,15,0.41,123,0.045288
B25G3,B25G3,,13,1825.612007,5,0.348601,0.366567,0,15,0.954545,63,0.024525
E01H5,E01H5,,35,9359.043716,5,0.380329,0.401964,0.000227,5,0.41533,233,0.04931
F21L4,F21L4,,147,61817.625744,5,0.422002,0.452746,0.001949,15,0.192537,2038,0.207226
F21V21,F21V21,,147,107826.741024,4,0.425844,0.456052,0.001864,15,0.21351,2260,0.212653
F21V23,F21V23,,325,211629.18071,4,0.462894,0.502259,0.013663,15,0.10618,5556,0.416648
F21V33,F21V33,,273,87689.20224,4,0.451985,0.489073,0.009608,15,0.115531,4258,0.348012
G06F3,G06F3,,651,1064988.384113,4,0.497278,0.555092,0.040729,12,0.088723,18714,0.942707
H04R1,H04R1,,327,376434.930447,4,0.458358,0.498783,0.008847,12,0.145182,7691,0.54285
H04R2420,H04R2420,,180,87426.941532,5,0.430576,0.462956,0.002106,12,0.208775,3326,0.315952
H04R3,H04R3,,221,131700.790478,5,0.43805,0.473188,0.004015,12,0.210004,5059,0.419251
H05B3,H05B3,,106,45227.436275,5,0.426649,0.453072,0.004428,11,0.164286,897,0.142063
A01B61,A01B61,,7,1021.023071,5,0.336049,0.350282,0,36,0.933333,14,0.009974
A01B76,A01B76,,17,2718.899597,5,0.3624,0.380774,0.00003,15,0.591667,71,0.032956
